1	747.9
1.002	746.9
1.004	726.1
1.006	713.6
1.008	733.5
1.01	731.3
1.012	726.2
1.014	721
1.016	713.9
1.018	710.7
1.02	704.1
1.022	702.1
1.024	705.4
1.026	702.7
1.028	698.9
1.03	693.7
1.032	690.5
1.034	681.7
1.036	684
1.038	677.2
1.04	676.1
1.042	674.6
1.044	671.4
1.046	660
1.048	664.4
1.05	662.2
1.052	658.6
1.054	654.9
1.056	655.7
1.058	645.1
1.06	641.5
1.062	643.8
1.064	645.9
1.066	639.5
1.068	631.7
1.07	624.1
1.072	632.6
1.074	627.6
1.076	628
1.078	627.2
1.08	624.7
1.082	609.9
1.084	618
1.086	620.8
1.088	610.3
1.09	619.9
1.092	615.9
1.094	584.9
1.096	598.3
1.098	596.1
1.1	604.2
1.102	593.2
1.104	597.4
1.106	594.5
1.108	591.6
1.11	590.6
1.112	584.3
1.114	584.4
1.116	583.1
1.118	581.5
1.12	574.1
1.122	579.6
1.124	576.9
1.126	565.5
1.128	570
1.13	565.3
1.132	567.8
1.134	563.8
1.136	565.8
1.138	556.9
1.14	553
1.142	553.1
1.144	551.4
1.146	554.8
1.148	552.5
1.15	548.9
1.152	545.8
1.154	547.9
1.156	545.5
1.158	543.5
1.16	532
1.162	532.5
1.164	533.2
1.166	530.3
1.168	531.2
1.17	527.6
1.172	531.5
1.174	527.3
1.176	518.4
1.178	519
1.18	523.9
1.182	515.9
1.184	510.3
1.186	518.7
1.188	507.5
1.19	508.5
1.192	516.1
1.194	514.5
1.196	508.4
1.198	494.3
1.2	500.3
1.202	506.8
1.204	494.8
1.206	503.9
1.208	489
1.21	488.2
1.212	493.3
1.214	494.2
1.216	493
1.218	489.7
1.22	487.5
1.222	485.4
1.224	484.6
1.226	481.7
1.228	477.1
1.23	479.2
1.232	475
1.234	472.9
1.236	471.9
1.238	470.3
1.24	465.3
1.242	464.2
1.244	461.9
1.246	463.5
1.248	463.3
1.25	462.4
1.252	457.1
1.254	457.4
1.256	455.1
1.258	453.3
1.26	453
1.262	449.7
1.264	447.8
1.266	446.7
1.268	441.7
1.27	445.3
1.272	445.2
1.274	443.1
1.276	445.1
1.278	444
1.28	435.6
1.282	401.4
1.284	425.9
1.286	432.8
1.288	431.4
1.29	425.5
1.292	425.4
1.294	422.3
1.296	422.4
1.298	418.4
1.3	418.6
1.302	413.9
1.304	411.1
1.306	413.6
1.308	412.3
1.31	410.6
1.312	403.3
1.314	402.2
1.316	397.9
1.318	401.7
1.32	401.6
1.322	398.6
1.324	398.1
1.326	394.9
1.328	390.8
1.33	387.8
1.332	386.3
1.334	389.2
1.336	386.6
1.338	383.2
1.34	379
1.342	380.5
1.344	379.8
1.346	377.2
1.348	376.6
1.35	372.4
1.352	374.2
1.354	372.2
1.356	367.5
1.358	368.8
1.36	367.3
1.362	367.7
1.364	365.7
1.366	365.7
1.368	362.8
1.37	359.9
1.372	362.1
1.374	361.1
1.376	356.1
1.378	358
1.38	357.9
1.382	354.5
1.384	354.7
1.386	353.2
1.388	353
1.39	350.6
1.392	351.3
1.394	348.8
1.396	348.7
1.398	349.2
1.4	342.7
1.402	343.9
1.404	342.8
1.406	343.1
1.408	342.7
1.41	341.8
1.412	334.8
1.414	337.7
1.416	338.5
1.418	338.6
1.42	335.7
1.422	331.5
1.424	331.1
1.426	328.1
1.428	328.5
1.43	325.7
1.432	330
1.434	328.4
1.436	328.5
1.438	328.3
1.44	318.8
1.442	318.6
1.444	319.7
1.446	321.6
1.448	321.6
1.45	318.7
1.452	315.4
1.454	314.3
1.456	313.1
1.458	316.7
1.46	315.6
1.462	312.1
1.464	310.5
1.466	310.8
1.468	311.4
1.47	310.2
1.472	307.3
1.474	303.4
1.476	304.8
1.478	304.4
1.48	306.8
1.482	304.4
1.484	303.9
1.486	303.3
1.488	285.5
1.49	301.5
1.492	301.8
1.494	303.3
1.496	297.2
1.498	299.4
1.5	301.1
1.502	292.4
1.504	279.9
1.506	284.8
1.508	291.9
1.51	294.7
1.512	291.3
1.514	288.3
1.516	288.2
1.518	288.4
1.52	286.6
1.522	282.4
1.524	283.5
1.526	284.6
